cluster1,cluster2,cluster3,cluster4
0.8351,0.0407,0.0183,0.1059
0.8932,0.0016,0.0027,0.1024
0.8661,0,0.0191,0.1148
0.8642,0,0.0294,0.1064
0.0405,0,0.0581,0.9014
0.0901,0.0008,0.0564,0.8527
0.0412,0.9579,0,0.0009
0.0628,0.892,0.0089,0.0363
0.0241,0.9759,0,0
0.057,0.943,0,0
0.0241,0.9434,0.0279,0.0046
0.0428,0.9571,0,0
0.0378,0.0009,0.0903,0.871
0.3927,0,0.6054,0.0019
0.9228,0.0051,0.0288,0.0432
0.9043,0,0,0.0957
0.4182,0,0.578,0.0038
0.9174,0.038,0,0.0446
0.8657,0.0465,0,0.0878
0.0413,0,0.0578,0.9009
0.8608,0.0247,0.0036,0.1109
0.8289,0.051,0.0037,0.1164
0.0836,0.9164,0,0
0.0887,0,0.0536,0.8578
0.0864,0.9044,0.0002,0.009
0.4979,0.0099,0.0487,0.4436
0.0288,0.9465,0.0197,0.0049
0.0362,0.0016,0.0594,0.9029
0.9123,0,0.0016,0.0861
0.0401,0,0.0584,0.9015
0.8788,0.0001,0.0013,0.1198
0.0786,0,0.1801,0.7413
0.073,0.0023,0.054,0.8707
0.0589,0.0015,0.0592,0.8803
0.9284,0.0001,0.0148,0.0567
0.068,0,0.0591,0.8729
0.0697,0.0006,0.0595,0.8702
0.6871,0.011,0.1571,0.1448
0.8074,0.0542,0.0507,0.0877
0.8723,0.0326,0.0037,0.0915
0.7886,0.1514,0,0.06
0.3652,0.4576,0.0404,0.1368
0.9373,0.0037,0,0.059
0.8867,0,0.0022,0.111
0.0853,0,0.1347,0.78
0.9446,0.0273,0,0.028
0.935,0,0,0.065
0.9441,0.0018,0,0.0541
0.1974,0.0025,0.0413,0.7588
0.9386,0.0108,0,0.0506
0.3164,0.0013,0.0563,0.626
0.5093,0.0001,0.1498,0.3408
0.8231,0,0.0772,0.0997
0.0439,0.0025,0.0571,0.8965
0.8273,0.0134,0.067,0.0922
0.8066,0.0527,0.007,0.1337
0.859,0,0.0635,0.0775
0.8775,0.0276,0.0019,0.0931
